Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C16,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,221.733699,-87.515505,-90,bottom
C23,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,220.081043,-87.536692,-90,bottom
U1,ER-TFTM032-3,GCT_FFC3B07-40-T,238.576,-92.874,180,bottom
C7,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,245.024427,-89.662,-90,top
C8,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,241.742798,-93.790329,90,top
C10,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,182.323352,-76.528019,-90,top
C11,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,220.726,-44.6035,90,top
C12,22uF,CP_Elec_8x10,244.124,-42.90229,180,top
C13,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,247.904,-49.76029,-90,top
C14,22uF,CP_Elec_8x10,232.439,-42.90229,180,top
C15,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,236.219,-49.76029,-90,top
C17,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,188.751309,-86.748,90,top
C18,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,187.706,-49.754,0,top
C19,0.01uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,187.317,-87.041322,90,top
C20,470pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,187.413414,-93.256359,-90,top
C21,470pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,199.293586,-83.407641,90,top
C22,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,197.955691,-89.916,-90,top
C24,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,220.726,-40.947,-90,top
C25,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,199.404,-43.078,90,top
C26,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,201.69,-43.078,90,top
C27,0.01uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,199.261412,-71.287671,90,top
C28,0.01uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,199.39,-89.622678,-90,top
C31,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,194.519076,-74.036782,90,top
C32,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.90751,-71.026349,180,top
C37,0.33uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,190.739099,-91.485368,-90,top
C38,0.33uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,195.967901,-85.178632,90,top
C39,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,185.166,-46.96,0,top
C40,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,184.457988,-44.727987,180,top
C41,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,201.168,-71.882,90,top
C42,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,199.251634,-64.101301,-90,top
C45,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,243.713783,-93.980765,90,top
C47,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,208.794038,-42.733056,90,top
C48,47uF,C_1210_3225Metric,192.278,-52.802,180,top
C49,47uF,C_1210_3225Metric,192.278,-56.612,180,top
C50,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,211.102395,-42.688233,90,top
D8,SS310,D_SMA,187.706,-54.834,90,top
D9,SS310,D_SMA,260.634,-43.715,-90,top
D10,SS310,D_SMA,260.634,-53.367,-90,top
D11,SS310,D_SMA,260.634,-63.019,-90,top
D12,SS310,D_SMA,260.634,-72.57,-90,top
D13,SS310,D_SMA,260.634,-82.222,-90,top
D14,SS310,D_SMA,260.634,-91.874,-90,top
J1,Pump Motor,CONN_WJ15EDGRC-3.81-2P,230.404,-35.79029,0,top
J2,Pump Motor,CONN_WJ15EDGRC-3.81-2P,242.089,-35.79029,0,top
J3,BLDC Motor,CONN_WJ15EDGRC-3.81-3P,216.159288,-35.680802,0,top
J4,BLDC Motor,CONN_WJ15EDGRC-3.81-3P,202.697288,-35.680802,0,top
J6,XUNPU DC-005-A250,BarrelJack_Horizontal,192.532,-41.56,-90,top
J7,Solenoid Terminal,CONN_WJ15EDGRC-3.81-2P,264.521,-41.937,-90,top
J13,Solenoid Terminal,CONN_WJ15EDGRC-3.81-2P,264.521,-51.589,-90,top
J14,Solenoid Terminal,CONN_WJ15EDGRC-3.81-2P,264.521,-61.241,-90,top
J15,Solenoid Terminal,CONN_WJ15EDGRC-3.81-2P,264.521,-70.792,-90,top
J16,Solenoid Terminal,CONN_WJ15EDGRC-3.81-2P,264.521,-80.444,-90,top
J17,Solenoid Terminal,CONN_WJ15EDGRC-3.81-2P,264.521,-90.096,-90,top
J18,Programmer,61200621621,222.758,-65.024,0,top
L1,6.8uH,L_Changjiang_FXL0630,190.754,-62.413317,0,top
Q1,MMBT2222A,SOT-23,256.2375,-44.7685,0,top
Q2,MMBT2222A,SOT-23,256.2375,-54.4205,0,top
Q3,MMBT2222A,SOT-23,256.2375,-64.0725,0,top
Q4,MMBT2222A,SOT-23,256.2375,-73.6235,0,top
Q5,MMBT2222A,SOT-23,256.2375,-83.2755,0,top
Q6,MMBT2222A,SOT-23,256.2375,-92.9275,0,top
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,247.569269,-90.550873,180,top
R3,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,251.49,-44.8345,90,top
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,253.268,-44.8345,-90,top
R5,18k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,234.363645,-58.8315,-90,top
R6,2.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,242.57,-81.28,180,top
R7,2.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,242.547174,-83.007482,180,top
R10,66.5k,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.901819,-59.110988,180,top
R11,300,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,197.023956,-76.542997,180,top
R12,4.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,194.525883,-77.45921,-90,top
R13,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,251.49,-54.4865,90,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,253.268,-54.4865,-90,top
